,name,rating,reviews,type,hq,old,employees
3847,Elite Elevators,4.5,(140 Reviews),Private,"Chennai,Tamil Nadu + 13 more",20 years old,51-200 Employees (India)
3848,ShortHills Tech,4.7,(140 Reviews),Private,New Jersey + 1 more,5 years old,51-200 Employees (India)
3849,PwC Acceleration...,3.8,(140 Reviews),Bengaluru/Bangalore + 3 more,,,
3850,Sunstone,4.1,(140 Reviews),Private,"Gurgaon,Haryana + 15 more",4 years old,501-1k Employees (India)
3851,Ushodaya Enterpr...,4.2,(140 Reviews),Private,Hyderabad + 22 more,49 years old,51-200 Employees (India)
3852,Danone Foods Bev...,3.8,(407 Reviews),Private,Paris + 30 more,104 years old,501-1k Employees (India)
3853,Sagar Cements,4.3,(139 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 17 more",38 years old,1k-5k Employees (India)
3854,Sun Vacuum Forme...,3.8,(139 Reviews),Private,"Delhi/NCR,Delhi + 5 more",37 years old,51-200 Employees (India)
3855,Qentelli,4.6,(139 Reviews),Private,"Dallas,TX",8 years old,501-1k Employees (India)
3856,Entigrity Soluti...,4.6,(139 Reviews),New York + 5 more,8 years old,1k-5k Employees (India),
